"dian_yuan_shu","vip_shu","zong_jian_shu","ling_shou_jia_zong_e","zhe_kou_zong_e","vip_shi_ji_xiao_shou_e","ping_jun_wen_du","ke_liu_liang","shi_ji_xiao_shou_zong_e"
"6","13","69","35546.000","2246.000","20266.000","25","0","33300.000"
"6","13","82","41010.000","2086.000","12845.000","25","0","38924.000"
"8","10","64","32658.000","1278.000","7811.000","25","0","31380.000"
"9","14","58","30764.000","1910.000","12901.000","23","0","28854.000"
"8","18","52","27138.000","2277.000","19102.000","23","0","24861.000"
"8","11","43","22338.000","742.000","5756.000","23","0","21596.000"
"6","12","61","30081.000","1556.000","10346.000","23","0","28525.000"
"9","15","87","29756.000","1551.000","13433.000","25","0","28205.000"
"8","12","65","32385.000","4573.000","15052.000","25","0","27812.000"
"10","27","97","50725.000","7295.000","25999.000","25","0","43430.000"
"10","18","89","52306.000","6452.000","15550.000","24","0","45854.000"
"7","13","45","24505.000","2817.000","9491.000","22","0","21688.000"
"6","10","61","34030.000","4207.000","12019.000","23","0","29823.000"
"6","12","70","35310.000","4097.000","11020.000","22","0","31213.000"
"7","5","40","21382.000","1217.000","4841.000","24","0","20165.000"
"7","14","60","32891.000","1538.000","13704.000","23","0","31353.000"
"8","16","96","54359.000","3791.000","26234.000","23","0","50568.000"
"8","13","76","46689.000","2366.000","20084.000","23","0","44323.000"
"7","17","61","36794.000","2624.000","22621.000","25","0","34170.000"
"8","16","58","34093.000","2264.000","16000.000","25","0","31829.000"
"7","21","72","41592.000","4271.000","26026.000","25","0","37321.000"
"7","14","62","38171.000","4058.000","19664.000","25","0","34113.000"
"9","13","61","39902.000","6101.000","14707.000","25","0","33801.000"
"11","19","99","62297.000","6473.000","20745.000","26","0","55824.000"
"9","20","93","58782.000","5741.000","17895.000","25","0","53041.000"
"8","11","58","35487.000","3273.000","8227.000","27","0","32214.000"
"7","12","59","33683.000","2420.000","13868.000","26","0","31263.000"
"6","10","46","28617.000","1434.000","11330.000","26","0","27183.000"
"7","13","36","21776.000","1749.000","11754.000","28","0","20027.000"
"7","10","39","20623.000","967.000","8681.000","28","0","19656.000"
"7","13","62","34990.000","2955.000","11108.000","28","0","32035.000"
"8","14","67","35455.000","1974.000","15120.000","28","0","33481.000"
"7","18","51","32530.000","2840.000","24618.000","27","0","29690.000"
"7","12","41","25113.000","1620.000","12124.000","25","0","23493.000"
"8","20","66","35946.000","2538.000","19294.000","26","0","33408.000"
"6","15","37","22105.000","2043.000","12335.000","28","0","20062.000"
"7","16","55","30868.000","1884.000","15764.000","28","0","28984.000"
